Distance,Freq,Amplitude,Sample,Notes,,File Name
30cm,10Hz,5,1,,,260603_002
30cm,10Hz,5,2,,,260603_003
30cm,10Hz,5,3,,,260603_004
30cm,10Hz,10,1,,,260603_005
30cm,10Hz,10,2,,,260603_006
30cm,10Hz,10,3,,,260603_007
30cm,10Hz,20,1,,,260603_008
30cm,10Hz,20,2,,,260603_009
30cm,10Hz,20,3,,,260603_010
30cm,100Hz,5,1,,,260603_011
30cm,100Hz,5,2,,,260603_012
30cm,100Hz,5,3,,,260603_013
30cm,100Hz,10,1,,,260603_014
30cm,100Hz,10,2,,,260603_015
30cm,100Hz,10,3,,,260603_016
30cm,100Hz,20,1,,,260603_017
30cm,100Hz,20,2,,,260603_018
30cm,100Hz,20,3,,,260603_019
30cm,200Hz,5,1,,,260603_020
30cm,200Hz,5,2,,,260603_021
30cm,200Hz,5,3,,,260603_022
30cm,200Hz,10,1,,,260603_023
30cm,200Hz,10,2,,,260603_024
30cm,200Hz,10,3,,,260603_025
30cm,200Hz,20,1,,,260603_026
30cm,200Hz,20,2,,,260603_027
30cm,200Hz,20,3,,,260603_028
45cm,10Hz,5,1,,,260603_029
45cm,10Hz,5,2,,,260603_030
45cm,10Hz,5,3,,,260603_031
45cm,10Hz,10,1,,,260603_032
45cm,10Hz,10,2,,,260603_033
45cm,10Hz,10,3,,,260603_034
45cm,10Hz,20,1,,,260603_035
45cm,10Hz,20,2,,,260603_036
45cm,10Hz,20,3,,,260603_037
45cm,100Hz,5,1,,,260604_001
45cm,100Hz,5,2,,,260604_002
45cm,100Hz,5,3,,,260604_003
45cm,100Hz,10,1,,,260604_004
45cm,100Hz,10,2,,,260604_005
45cm,100Hz,10,3,,,260604_006
45cm,100Hz,20,1,,,260604_007
45cm,100Hz,20,2,,,260604_008
45cm,100Hz,20,3,,,260604_009
45cm,200Hz,5,1,,,260604_010
45cm,200Hz,5,2,,,260604_011
45cm,200Hz,5,3,,,260604_012
45cm,200Hz,10,1,,,260604_013
45cm,200Hz,10,2,,,260604_014
45cm,200Hz,10,3,,,260604_015
45cm,200Hz,20,1,,,260604_016
45cm,200Hz,20,2,,,260604_017
45cm,200Hz,20,3,,,260604_018
60cm,10Hz,5,1,,,260604_019
60cm,10Hz,5,2,,,260604_020
60cm,10Hz,5,3,,,260604_021
60cm,10Hz,10,1,,,260604_022
60cm,10Hz,10,2,,,260604_023
60cm,10Hz,10,3,,,260604_024
60cm,10Hz,20,1,,,260604_025
60cm,10Hz,20,2,,,260604_026
60cm,10Hz,20,3,,,260604_027
60cm,100Hz,5,1,,,260604_028
60cm,100Hz,5,2,,,260604_029
60cm,100Hz,5,3,,,260604_030
60cm,100Hz,10,1,,,260604_031
60cm,100Hz,10,2,,,260604_033
60cm,100Hz,10,3,,,260604_034
60cm,100Hz,20,1,,,260604_035
60cm,100Hz,20,2,,,260604_036
60cm,100Hz,20,3,,,260604_037
60cm,200Hz,5,1,,,260604_038
60cm,200Hz,5,2,,,260604_039
60cm,200Hz,5,3,,,260604_040
60cm,200Hz,10,1,,,260604_041
60cm,200Hz,10,2,,,260604_042
60cm,200Hz,10,3,,,260604_043
60cm,200Hz,20,1,,,260604_044
60cm,200Hz,20,2,,,260604_045
60cm,200Hz,20,3,,,260604_046
75cm,10Hz,5,1,,,260604_047
75cm,10Hz,5,2,,,260604_048
75cm,10Hz,5,3,,,260604_049
75cm,10Hz,10,1,,,260604_050
75cm,10Hz,10,2,,,260604_051
75cm,10Hz,10,3,,,260604_052
75cm,10Hz,20,1,,,260604_053
75cm,10Hz,20,2,,,260604_054
75cm,10Hz,20,3,,,260604_055
75cm,100Hz,5,1,,,260604_056
75cm,100Hz,5,2,,,260604_057
75cm,100Hz,5,3,,,260604_058
75cm,100Hz,10,1,,,260604_059
75cm,100Hz,10,2,,,260604_060
75cm,100Hz,10,3,,,260604_061
75cm,100Hz,20,1,,,260604_062
75cm,100Hz,20,2,,,260604_063
75cm,100Hz,20,3,,,260604_064
75cm,200Hz,5,1,,,260604_065
75cm,200Hz,5,2,,,260604_066
75cm,200Hz,5,3,,,260604_067
75cm,200Hz,10,1,,,260604_068
75cm,200Hz,10,2,,,260604_069
75cm,200Hz,10,3,,,260604_070
75cm,200Hz,20,1,,,260604_071
75cm,200Hz,20,2,,,260604_072
75cm,200Hz,20,3,,,260604_073
90cm,10Hz,5,1,,,260604_074
90cm,10Hz,5,2,,,260604_075
90cm,10Hz,5,3,,,260604_076
90cm,10Hz,10,1,,,260604_077
90cm,10Hz,10,2,,,260604_078
90cm,10Hz,10,3,,,260604_080
90cm,10Hz,20,1,,,260604_081
90cm,10Hz,20,2,,,260604_082
90cm,10Hz,20,3,,,260604_083
90cm,100Hz,5,1,,,260604_084
90cm,100Hz,5,2,,,260604_085
90cm,100Hz,5,3,,,260604_086
90cm,100Hz,10,1,,,260604_087
90cm,100Hz,10,2,,,260604_088
90cm,100Hz,10,3,,,260604_089
90cm,100Hz,20,1,,,260604_090
90cm,100Hz,20,2,,,260604_091
90cm,100Hz,20,3,,,260604_092
90cm,200Hz,5,1,,,260604_093
90cm,200Hz,5,2,,,260604_094
90cm,200Hz,5,3,,,260604_096
90cm,200Hz,10,1,,,260604_097
90cm,200Hz,10,2,,,260604_098
90cm,200Hz,10,3,,,260604_099
90cm,200Hz,20,1,,,260604_100
90cm,200Hz,20,2,,,260604_101
90cm,200Hz,20,3,,,260604_102